Id,Front,Left,Rear,Right
2c9180975a056a64015a1e10d3f270fe,0.996167123318,0.000343470368534,0.00177995197009,0.00170947262086
2c9180975a056a64015a1de4deb16bdc,0.997305393219,0.00109465571586,0.000405951490393,0.00119402632117
2c9180975a056a64015a1e0e70ea70ce,0.996513783932,0.000318705599057,0.00165161443874,0.00151590153109
2c9180975a056a64015a1dfed0c46ec6,0.996410667896,0.000328136840835,0.00170048780274,0.00156076054554
2c9180975a056a64015a1dfed0c46ec7,0.997134566307,0.00106163648888,0.000420710653998,0.00138312322088
2c9180975a056a64015a1e44ba4377f8,0.049100369215,0.00252660643309,0.72466301918,0.223710015416
2c9180975a056a64015a1e010c8f6ee1,0.997386991978,0.00106782931834,0.000396002607886,0.0011492165504
2c9180975a056a64015a1e1db63072aa,0.991555035114,0.000618227175437,0.00320381252095,0.00462298560888
2c9180975a056a64015a1e1db63072a8,0.000711028580554,0.00294549344108,0.995240569115,0.00110291119199
2c9180975a056a64015a1e2354f5733c,0.000678560172673,0.00256722816266,0.995701611042,0.00105254782829
2c9180975a056a64015a1e07928f6ff8,0.997349500656,0.00108882342465,0.000396239687689,0.00116546207573
2c9180975a056a64015a1e20a607730a,0.997363269329,0.00106188002974,0.000420807133196,0.00115401204675
2c9180975a056a64015a1e3322e37587,0.0130186825991,0.11302497983,0.873089551926,0.00086676859064
2c9180975a056a64015a1e050c296fcd,0.99486887455,0.00042692880379,0.00221245409921,0.0024917635601
2c9180975a056a64015a1e050c296fcf,0.996315658092,0.000336819124641,0.00174548348878,0.00160205736756
2c9180975a056a64015a1e04ad9f6f84,0.000778530666139,0.00225595221855,0.995757877827,0.00120761699509
2c9180975a056a64015a1de7a19c6c2b,0.996167123318,0.000343470368534,0.00177995197009,0.00170947262086
2c9180975a056a64015a1e1180a37123,0.000660063931718,0.00268325116485,0.995632827282,0.00102385797072
2c9180975a056a64015a1e1d735c729b,0.996261537075,0.00144659169018,0.000573262921534,0.00171853799839
2c9180975a056a64015a1e1d735c729c,0.00071723619476,0.00366269727238,0.994507491589,0.00111254013609
2c9180975a056a64015a1e41bbc27765,0.984451770782,0.000933144299779,0.00483579188585,0.00977929588407
2c9180975a056a64015a1e41bbc2775e,0.991020977497,0.00063258362934,0.00327821006067,0.0050682569854
